comment,Sentiment,Confidence
嗨，男孩未来更难了,0,0.343623
自由价更高,0,0.938016
卧槽，快乐得批爆！,0,0.79556
身边有娃的都老了，你说呢,0,0.104164
自由有钱有闲的我,0,0.13211
东方文艺复兴,2,0.982616
离婚需要冷静期 很麻烦 解决方案就是不结就完了,0,0.997092
那可太快乐了,0,0.994296
妄图把家庭当避风港的人，更要当心来自家庭的风雨雷电,0,0.859132
33，女，超快乐,0,0.999859
多好啊多好啊 多生点男宝hhh,0,0.953005
晚婚晚育，你挑的嘛偶像,0,0.959702
好,2,0.998993
好好好,0,0.999795
真的快乐！！！,0,0.99917
人口数量和出生率下降是不是意味着河南高考的压力之后存在减轻的趋势？,0,0.780903
分析的太经典。,2,0.8684
遥遥领先,2,0.965683
好好好,0,0.999795
俗称用脚投票,0,0.59553
遥遥领先,2,0.965683
女方也是这么说男方的，所以去尼玛的婚姻,0,0.993611
遥遥领先,2,0.965683
广东珠三角不会，是潮汕区的疯狂拉高,0,0.271337
三个孩子养，什么家庭啊,0,0.323138
你不生有的是人生 这句话 可能是今年最棒的谐音梗,0,0.291847
快乐的一批,0,0.999682
视频不敢说，我们心里有谱就行了,0,0.760093
还是太多了,0,0.892036
扯，快递行业没有饱和，根本招不到人,0,0.999261
细说女性朋友,2,0.739853
我管你什么未来不未来我先把我自己过好再说,0,0.463999
太好了,2,0.99961
保护,0,0.887793
说穿了就一个“钱”字！,0,0.989509
我同事一胎女想要个儿子二胎双胞胎女儿，现在一家人经济压力巨大他老婆经常吵着离婚,0,0.884354
主要是有手机，就是比女人和孩子好玩,0,0.995119
相当快乐,0,0.999747
好耶,2,0.998389
干脆别活了，结个婚那么多屁事,0,0.999338
我是因为自卑吧哈哈,2,0.976999
当然快乐,0,0.99848
那可太快乐了,0,0.994296
快乐！,0,0.999865
都读研去了,0,0.921712
保护,0,0.887793
太妙了,0,0.578292
必须三连！,2,0.982188
不可能，绝对不可能,0,0.997599
那特么是快乐的不行,0,0.645008
快乐踏马一批,0,0.997172
你不生有的是人生,0,0.7736
保护,0,0.887793
保护,0,0.887793
tmd结了婚也当丁克，生孩子赔钱赔死,0,0.99995
品质提高的代表是你工作不好找了,2,0.0308516
确实,0,0.483035
我觉得挺快乐的哈哈哈哈哈,0,0.999734
8w最好,2,0.980934
是的，是真的快乐,0,0.998602
遥遥领先,2,0.965683
快不快乐不重要，只要自己不后悔就行了,0,0.926195
最可怕的是，现在的年轻人不再理性。,0,0.99762
好好好好好,0,0.999771
但是不结婚不还是买房买车了,1,0.237319
是的，把快乐建立在他人痛苦上是不对的,0,0.235377
怎么还有八百万啊,0,0.991361
好耶！,2,0.999088
不是解读，就是没安好心啊,0,0.991655
怎么还有这么多,0,0.990998
那最好了  希望你们说到做到别结婚 好让我这个未婚八零后看看,2,0.865831
真的,0,0.239615
好好好,0,0.999795
额……,0,0.370771
意思是以前被你们忽悠着生的素质低喽,0,0.999946
很好,2,0.999712
保护,0,0.887793
知乎上一大堆后悔生娃的奶爸奶妈,0,0.808874
有钱，教育，医疗，要有人陪伴住房，好多,0,0.298302
没钱,0,0.974415
我结婚了我都能想象不结婚能有多快乐,0,0.989265
几亿人,2,0.886796
这版本还追男孩的怕不是家里有矿,0,0.954673
我老家 卧槽,0,0.768129
大快人心,2,0.93708
好好好,0,0.999795
这个太真实了，我叔两个女儿，他没觉得有什么，但是长辈一直给压力，今年又生了个男孩,2,0.776877
好,2,0.998993
高房价是最好的避孕药,2,0.720558
你说的这些只是门槛最本质是没钱，工资低没后续保障,0,0.994581
我的快乐天平婚后人士体会不到,0,0.939705
相对妥协现实的选择,2,0.492443
可太快乐了,0,0.995067
太对啦,2,0.147827
80末，还没结婚,0,0.773943
遥遥领先,2,0.965683
还是年轻好,0,0.645837
我服了你们这群老六了,0,0.999089
我的快乐 你们想象不到,0,0.681147
再卷啊？！！活该！！！,0,0.999957
不要地域黑！不要地域黑！不要地域黑！,0,0.99964
說實話吧，除非只用生，不用養，要不然就很難提高哦。,0,0.769255
当然快乐啊,0,0.998577
我就想以后生个女儿,2,0.834384
保护,0,0.887793
学区房,2,0.788503
这叫合理利用资源,0,0.421831
那男的呢？,0,0.978282
还有这么多沙雕,2,0.363444
你根本不知道我有多快乐,0,0.900635
救护车，快叫救护车！,2,0.027004
一辈子才几十年。最起码能快乐三十年,0,0.934624
说得挺好的，的确事实如此,2,0.905643
第一次看到说完再叠甲的哈哈哈哈,2,0.990288
快乐啊当然快乐,0,0.999868
关注了,2,0.974762
好！！！！！,2,0.998534
好好好，很好,0,0.999975
我不信,0,0.981418
年轻人付费上班,0,0.583254
我有不同观点，我觉得这很大程度上是因为总体教育水平的提高,2,0.967124
和铁锤妹妹生三个，不三十个,0,0.894364
赢了,0,0.128377
对滴，我觉得我在某种程度上来说功德无量,2,0.964536
5线城市一个月6千多没事钓钓鱼，舒服死了,0,0.956903
这才是根本原因,0,0.985371
请和铁锤妹妹结婚,0,0.391947
喜欢女儿,2,0.999763
。,2,0.23057
说出了我的心里话,2,0.0883446
苏北那边也是,2,0.899071
那必须快乐啊,0,0.99957
那是快乐上天了,0,0.99724
不要太爽,0,1
遥遥领先,2,0.965683
太好了！,2,0.999629
没事我身边人挺多结婚生孩子的，我就不结了，多我一个不多少我一个不少,0,0.798861
不，我只觉得如果要生的话生女的我会很高兴，生儿子就是锻炼身体（狗头保命我是男生）,0,0.9083
自己也養不起，还谈什么恋爱,0,0.913561
ip正确,2,0.956856
可确实是这样啊,0,0.58262
冲这个我直接两个币,0,0.917741
还是跑的太慢了,0,0.999452
当环境不适合生存的时候，物种就会停止繁衍,0,0.940797
太快乐了,0,0.989325
 保护,0,0.887793
后续呢？,0,0.905638
好！,2,0.99937
心无羁绊身无篱.,0,0.822228
确实,0,0.483035
快乐吗？一个人不快乐结婚想好多人一起不快乐？个体快不快乐是这个社会影响的,0,0.583765
跟女权有什么关系？你来说说你挨打的问题,0,0.999661
保护,0,0.887793
如果个体的困顿和集体没有关联，那么集体的耻辱和个体又有什么关系呢?,0,0.995659
嘤嘤嘤！赶日超韩,2,0.973239
至少不痛苦,0,0.918889
我事实说话 真的快乐 下班就打游戏 去超市只买自己喜欢吃的东西 赚的不多但是快乐很够,0,0.992123
针不戳,0,0.98107
谈了三年，单了一年了，非常快乐,0,0.999374
保护,0,0.887793
年轻人的心态都先老了，对未来的不确定性的恐惧,0,0.0334238
太快乐了，爸妈领工资，我也领工资，美滋滋,0,0.999765
这里连字幕都不放了，太敏感了,0,0.988123
保护,0,0.887793
一个月5000几个人花着舒服我还是知道的,0,0.974778
共鸣,2,0.996594
我的75后80后朋友们不婚的也很快活,2,0.942629
现在这个社会就是钱的问题，没钱你毛都没有,0,0.999317
真的快乐啊 说不快乐的 难道不是90后？,0,0.767159
通胀毁所有,0,0.995732
哎呀，这不是我家吗？哈哈哈,0,0.980464
怎么能说是被认为呢，客观上也是没安好心啊,0,0.996691
你是懂流量的,2,0.0409032
自己去看，去做，去听，去感受。当键盘侠谁都可以。,0,0.825143
干得漂亮,2,0.999775
社会动荡是性别比例的福分咯,2,0.647434
好好好！！！！！,0,0.999818
太好了，那我不结了,2,0.996781
漂亮,2,0.999952
愁是愁，但是真的开心了,2,0.997708
烦死了那么能产崽,0,0.994982
很正常，这就是思想进步，你看美国的基本都40岁左右结，这不仅仅体现了一个国家的思想状况同时也体现出了国家的经济能力就是说中国开始强了,2,0.795499
哈哈,2,0.999519
让他们以后长大做男同去呗,2,0.0629169
我孤独但是别无选择,0,0.0131234
保护,0,0.887793
三孩？？？,0,0.999822
还有因为学校教育 一直都认为恋爱有碍于学习,2,0.95533
做梦,1,0.680008
"没钱的啦,很蓝的啦,自己都过不自在,不想带另外两个人一起不自在",0,0.738487
麻蛋怎么还有人生啊!有钱人还是多啊,0,0.677148
说得对,2,0.389632
我不生有的是人生,0,0.573595
80后好惨啊,0,0.890923
哈哈哈,2,0.998853
对的,2,0.957041
真实,2,0.996881
怎么还有700万？,0,0.998457
哈哈哈哈哈哈哈,2,0.974361
自己活着都费劲,0,0.967809
遥遥领先,2,0.965683
我不干有的是人干,0,0.855737
提升工资，降低物价,0,0.866129
有人没工作哪里好了？,0,0.992762
太多了  再少一半吧,0,0.997409
生存的话  男性更实用 只要不懒 下限有保障 至少能干体力活,2,0.568623
钱,0,0.874019
这种话真的很像道德绑架,0,0.977059
太早了,0,0.884419
我支持年轻人们,2,0.998277
因为一部分中产返贫，所以劳动人口素质提高了,2,0.206916
还有这么多吗,0,0.748118
？？？,0,0.999928
不结婚就什么都不怕，结婚买房生娃，你就跪了,0,0.914363
？？,0,0.999433
不不 86年的我表示对象都不找,0,0.492882
反正什么也没有，不像有房贷怕丢工作,0,0.99879
遥遥领先,2,0.965683
保护,0,0.887793
男士,2,0.91911
快乐呀享受自我，一人吃饱全家不饿,0,0.996915
谢谢能说出来,2,0.954563
这是现代人缺德的表现，不是结婚与否的问题,0,0.998275
他们是真的快乐,0,0.996124
经过后发现没人管和不用管别人很快乐,0,0.617721
好，以后能上上公立幼儿园了,2,0.99941
29了不生我不急,0,0.953827
太快乐了,0,0.989325
相当快乐啊，一个人吃喝穿不愁有车有房,0,0.9989
太多啦,0,0.627082
结婚让人不幸,0,0.449535
有多少人领到不贴了，可以出来走走。再说那点钱够干啥。佩服生二，三胎的。,0,0.902582
？,0,0.993778
听君一席话如听一席话,2,0.295205
铺贴几万就生？？？,0,0.999505
人真的太多了，家人们,2,0.872458
那是相当的快乐了,0,0.999572
真的好快乐！！！！！,0,0.99927
所以男方呢？光女生婚后被说理由那么多，但是男方被说理由基本无非钱,0,0.996433
为什么总有闹摊拿个例反驳普遍现象？,0,0.991576
不低，小三占比更是不低,0,0.998551
我现在快不快乐不知道，但是结婚了肯定不快乐,0,0.353362
非常快乐！,0,0.999898
我要是以后生个女儿，做梦都能笑醒……,2,0.663266
绝了,2,0.988102
这种破话题还能水几期？不过我爱看（,0,0.952944
你不干有的是人干,0,0.974986
指大学牲,2,0.823677
儿孙自有儿孙福，没有儿孙我享福,2,0.10282
一个二孩补贴五千，呵呵……,0,0.351523
是的,2,0.110777
没毛病,0,0.727615
30离婚了，很快乐,0,0.819165
对,2,0.823896
二孩三孩占比这么高，说明生活富足的人确实挺不少的,0,0.349225
还能降,0,0.305629
自己呢么苦了，不想有孩子受罪，我有错吗？,0,0.995711
两亿多老人,2,0.72284
我都87了，相当快乐,0,0.99969
还有降低空间，同志们继续努力！,2,0.483791
沪爷闭麦,2,0.00219848
保护,0,0.887793
生了孩子都可能看不到未来了,0,0.644585
这是张爱玲的名言,2,0.577178
遥遥领先,2,0.965683
很快乐啊,0,0.999768
怎么还有那么多,0,0.994601
张爱玲说的,2,0.808679
房子，价值观，大道理,2,0.319326
也代表我的看法,2,0.609078
感谢审核,2,0.98749
快乐得很,0,0.999906
我的天啊，这个币我是投还是不投啊，投了怕视频没了，不投又可惜,0,0.991028
快乐的不得了,0,0.999864
保护！,0,0.93595
哈哈哈哈哈哈哈哈,2,0.826193
必须给币了,2,0.585509
好,2,0.998993
太棒了,2,0.999797
非常快乐,0,0.999783
可不是咋滴～,0,0.996489
太好了,2,0.99961
保护,0,0.887793
弹幕没了？,0,0.992445
我恐婆家，恐七大姑八大姨，简单点就是恐旧思想，自己不被当人看,0,0.954053
快乐！,0,0.999865
我身边亲戚朋友都盼女儿，几乎都生了两个，但都是儿子，之后不敢再生了,2,0.407941
问题不大,0,0.880808
不是一波人，不要一概而论,0,0.989954
没贷款，想走就走,2,0.804306
遥遥领先,2,0.965683
难道不是么,0,0.994696
前面那个避免和女性打交道的，感谢你，请尽量离女的远点～,0,0.165501
更卷。,2,0.868491
一次性补贴没用。,0,0.950201
你这代表了广大年轻人的看法,0,0.965617
太多了,0,0.867628
福建人表示正确,2,0.98376
广西也是,2,0.715003
人间清醒,2,0.97616
这视频的观点何尝不又是一种pua,0,0.93075
我属于这类人，但成不了家，没那个能力,0,0.992692
肯定快乐啊,0,0.999267
也是我的看法,2,0.286683
喜闻乐见,2,0.986137
保护,0,0.887793
人生短短几十年，干嘛非要活得那么累,0,0.887991
那可太快乐了,0,0.994296
来看五十万,2,0.0401243
不，是二十一世纪新青年集体共同的看法！,0,0.934355
非常之快乐,0,0.999566
太爽啦,0,1
赢了,0,0.128377
还是太多了。。还得再降,0,0.989171
做出这样的选择很明显结婚肯定不快乐,0,0.972638
笑死，去看看奶粉产能过剩有多严重,0,0.972568
人家是不想，我是真没,0,0.997014
木有钱，咋个结啊,0,0.987964
公务员才几个钱啊，上面管不了的，什么时候五年公务员合法收入是清华博士去华为一辈子不敢想的再说吧,0,0.956178
好！！,2,0.999184
不去，睡觉呢,0,0.712244
不去,0,0.984184
只要不生，这些都与我无关。。,1,0.760046
我还能吃着东西看你视频,2,0.779909
对,2,0.823896
我确实是这样认为的，孩子生下来太受苦了，还不如不生呢,0,0.998179
38了，快乐～,0,0.999674
不生就对了,0,0.967228
正确的，一针见血,2,0.995179
遥遥领先,2,0.965683
我寻思某音里的人素质也不高啊,0,0.975118
遥遥领先,2,0.965683
混乱善良,0,0.982365
哈哈哈 没毛病,2,0.889225
国家也希望降，但不要太快,0,0.568042
单身真的快乐！,0,0.997743
还可以，比结婚快乐。,0,0.891514
我我我，都怪我！刷到这视频,0,0.92782
还好我家很开放，讲究儿女双全，所以兄弟姐妹之间都很团结,2,0.967537
不错！,2,0.997087
意思是低素质的老人都死了是吧,0,0.999971
我现在爽得一批）,0,1
我就是这种想法，毕竟我也只是普通人，生下来也只是凑数的,0,0.890758
结婚？为啥结婚，单身不好吗,0,0.984597
我就想要女儿，养儿防不老我能不知道吗,2,0.749475
不急,2,0.458458
总结，人多得很，不怕,2,0.607412
不是一般的快乐,0,0.981039
花了大价钱娶到的老婆，很快会出轨或离婚，甚至让你家破人亡,0,0.977867
保护！,0,0.93595
传统思维模式和教育,2,0.990863
还有八百万呢,0,0.316403
必须点赞投币,2,0.987244
说来说去还不是钱的问题,0,0.979323
同意,0,0.890057
哈哈哈，有道理,2,0.998188
保护,0,0.887793
如果是三年前我还没破产的时候，我会考虑结婚，可我现在收入不到当时的三十分之一 我还怎么敢,0,0.979651
继续继续,2,0.994504
房价,0,0.679905
遥遥领先于同行,2,0.929454
也就是还是人太多了太卷了,2,0.857991
我想要女儿。。。。,2,0.937211
好耶！,2,0.999088
太好了,2,0.99961
生二娃就给个几千  。。这不是搞笑吗,0,0.999632
这属于觉醒了,0,0.715984
一个人已经够累了，没精力再找个人折腾我,0,0.186667
遥遥领先,2,0.965683
相当的快乐,0,0.999742
遥遥领先,2,0.965683
？,0,0.993778
让有钱人使劲生,0,0.800954
遥遥领先,2,0.965683
祝福这些新人,2,0.982595
干得好,2,0.937133
社会很单纯，复杂的是人,2,0.442178
单身挺自由的,0,0.970639
No我才不要呢,0,0.942488
遥遥领先,2,0.965683
不是快乐，是超级无敌快乐,0,0.95975
物质条件恐怕其次，精力被生存与无法满足的精神需求可能更重要,0,0.987484
去个球，累就休息,2,0.748387
好阳刚！,2,0.997168
保护,0,0.887793
没有工资谈何,0,0.973381
卷怕了,2,0.264511
这么多？,0,0.986695
好！,2,0.99937
保护,0,0.887793
太虚伪啦,0,0.999834
人间清醒00后,2,0.945671
tm的上完大学念研究生，等工作稳定了30都算岁数小的了,2,0.457376
赞不去看别人痛苦去痛,2,0.982802
管好自己，咸吃萝卜淡操心,0,0.795726
那是相当的快乐！哈哈哈,0,0.999865
这不是女性角度？说问题可以客观点,0,0.999114
说快乐的都在死撑，还是太年轻,0,0.245897
你不是一个人在战斗,0,0.993462
快乐，但也没有多快乐。,0,0.960559
反正我很快乐,0,0.348139
笑死，我们学校结婚能加学分,0,0.222723
巧了，我们一个看法，所以在我没有一百万存款前不会结婚生娃,1,0.297278
好好好,0,0.999795
好好好,0,0.999795
没有诶,0,0.98183
所以你也别去在乎国家和未来,0,0.811106
是专家,2,0.661724
人多着呢,2,0.892401
是呢,0,0.81242
彩票是不可能的。,0,0.778123
就是这样,2,0.160364
还好网上出生率越来越高,0,0.484812
是钱,0,0.973778
快乐到无法自拔,0,0.999473
事实就是人多啊,2,0.802504
最小的80后也已经34了，马上就生不动了,0,0.972067
真的快乐,0,0.999558
養娃成本越來越高，物價越來越高，房貸車貸越來越多，再加上養小孩子，他是“不穩定投資”養不好不行，養的好是財富,0,0.555358
遥遥领先,2,0.965683
首先是年龄，第二年龄，第三年龄,2,0.814751
跟穷人想象不到富豪的快乐一样，结婚的人想象不到单身的人的快乐,0,0.031762
这话没毛病,0,0.864173
爱情？存在吗？,0,0.976801
夹带私货那个，我只能说你真幸福,2,0.720471
问了一句你养？,0,0.999408
我爸就喜欢女孩。。,2,0.96659
这可能是未来5年最高的数据,2,0.913676
不想做生物爹有问题么？,0,0.99987
结不起婚生不起娃,0,0.919489
太快乐了哈哈哈,0,0.999558
有遗憾目前，但是烦恼不多，大多是工作压力,2,0.476476
还有三孩，这些人家里真有钱,0,0.728499
那可太牛逼了,2,0.312626
那可真是太快乐了,0,0.96681
确实月入五千，房租水电1.2k，吃饭1.5k，一半多没了,0,0.668187
无论是做单身的还是婚后的，都迟早得后悔,0,0.998862
挺好的,2,0.99812
过于快乐,0,0.0113061
《我正在急诊接病人》,0,0.477801
就是,2,0.972645
已投币,0,0.958392
保护,0,0.887793
保护,0,0.887793
反正我这外来的没素质比有素质多，只希望没素质的人早早见鬼去,0,0.999512
好,2,0.998993
期待数据,2,0.755287
结婚本是后半辈子在一起，当下年轻人大多数人到不了最后,2,0.536285
没啥好担心的 应得的,0,0.804951
